region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Stockholmskommun,Bromma,Gustav III:s väg 76,3,83 ,83m²3rum,5100000,4811320
Sundbybergskommun,LägenhetLägenhetUrsvik,Boplatsvägen 2,4,85 ,85m²4rum,4635000,4291666
Stockholmskommun,LägenhetLägenhetHägersten,Klubbacken 39,2,51 ,51m²2rum,3300000,2796610
Stockholmskommun,Södermalm,"Åsögatan 191, 1 tr",1,36 ,36m²1rum,3550000,2958333
Stockholmskommun,LägenhetLägenhetSkärmarbrink,Thunbergsgatan 35,3,68 ,68m²3rum,5300000,4491525
Solnakommun,LägenhetLägenhetHuvudsta,"Göran Perssons Väg 3, vån 2",3,83 ,83m²3rum,4200000,4491525
Stockholmskommun,LägenhetLägenhetAnnedal,"Krakel Spektakels Gata 2, 4 tr",4,123 ,123m²4rum,6995000,6995000
Sollentunakommun,LägenhetLägenhetRotebro,Vasavägen 84A,3,76 ,76m²3rum,2300000,2149532
Stockholmskommun,LägenhetLägenhetAspudden,"Jarl Kulles gata 3, vån 2 av 5",2.5,63 ,"63m²2,5rum",4730000,4077586
Stockholmskommun,LägenhetLägenhetFruängen,Fruängsgatan 39,4,108.7 ,"108,7m²4rum",6075000,5955882
Stockholmskommun,LägenhetLägenhetMinneberg,Svartviksslingan 73,2.5,63.5 ,"63,5m²2,5rum",5260000,4495726
Stockholmskommun,Vasastan,Sveavägen 89,1,40.5 ,"40,5m²1rum",3800000,2992125
Stockholmskommun,LägenhetLägenhetÅrsta,Gullmarsvägen 81,2,54 ,54m²2rum,3650000,3201754
Stockholmskommun,Östermalm,"Melodislingan 18, 4 tr",2,44 ,44m²2rum,5200000,5098039
Stockholmskommun,LägenhetLägenhetBagarmossen,Emågatan 12,4,75 ,75m²4rum,4500000,4500000
Nackakommun,LägenhetLägenhetOrminge,Betsövägen 8,2,54 ,54m²2rum,2160000,2160000
Stockholmskommun,Hässelby,Aprikosgatan 82,2,57.5 ,"57,5m²2rum",2050000,1898148
Solnakommun,Råsunda,"Gustafsvägen 12, 2 tr",3,65 ,65m²3rum,4175000,3976190
Solnakommun,LägenhetLägenhetNäckrosen,Näckrosvägen 28,2,53 ,53m²2rum,3600000,3000000
Nackakommun,LägenhetLägenhetÖstraOrminge,Storholmsvägen 50,6,115.5 ,"115,5m²6rum",4800000,4705882
Solnakommun,LägenhetLägenhetSolna,"Fridensborgsvägen 113, egen uteplats!",1.5,31 ,"31m²1,5rum",2200000,2075471
Sundbybergskommun,LägenhetLägenhetCentralaSundbyberg,Tulegatan 6E,1.5,37 ,"37m²1,5rum",2750000,2291666
Stockholmskommun,Kungsholmen,"Wennerbergsgatan 6b, 6tr",2,49 ,49m²2rum,3875000,3799019
Stockholmskommun,LägenhetLägenhetÖrbySlott,Tosterövägen 9,3,69.5 ,"69,5m²3rum",3350000,2791666
Nackakommun,LägenhetLägenhetNacka,"Trillans väg 47, 2tr",4,94.5 ,"94,5m²4rum",4600000,3898305
Stockholmskommun,Södermalm,"Mosebacke torg 8 A, 2 tr",5,101 ,101m²5rum,12500000,12500000
Nackakommun,LägenhetLägenhetFinntorp,"Becksjudarvägen 33, 2tr",2,52 ,52m²2rum,2650000,2500000
Stockholmskommun,LägenhetLägenhetRiksby,Mattvägen 7,3,72 ,72m²3rum,4400000,4313725
Nackakommun,LägenhetLägenhetKvarnholmen,Mjölnarvägen 22,3.5,111.5 ,"111,5m²3,5rum",8500000,8500000
Stockholmskommun,LägenhetLägenhetHökarängen,"Pepparvägen 62, 3 tr",4,91 ,91m²4rum,4740000,4194690
Stockholmskommun,LägenhetLägenhetBandhagen,"Fågelstavägen 20, vån 3 av 3",2,55.5 ,"55,5m²2rum",2600000,2166666
Stockholmskommun,LägenhetLägenhetHögdalen,Stenkvistavägen 12,2,49.5 ,"49,5m²2rum",2700000,2700000
Stockholmskommun,Vasastan,Tre Liljor 5,2,37 ,37m²2rum,4100000,3980582
Stockholmskommun,LägenhetLägenhetLiljeholmskajen,Sjöviksbacken 5,3,84 ,84m²3rum,6350000,5772727
Stockholmskommun,Hässelby,Medsolsbacken 17 (Vån 1),4,100 ,100m²4rum,3450000,3254716
