region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Uppsalakommun,Fålhagen,Fålhagsleden 6C,1.5,37.0,2107,1995000,1995000
Uppsalakommun,Eriksberg,Stigbergsplan 5,2,56.5,2606,2100000,2000000
Uppsalakommun,Kungsängen,Sållargatan 4,1,35.0,1613,1895000,1895000
Uppsalakommun,Luthagen,Lockgatan 1,2,52.0,3029,2070000,1990384
Uppsalakommun,Luthagen,"Luthagsesplanaden 26B, VÅN 3",2,53.0,2872,2550000,2500000
Uppsalakommun,Fålhagen,Hjalmar Brantingsgatan 31,3,87.0,4329,3450000,3000000
Uppsalakommun,Fålhagen,Torkelsgatan 19H,3,85.0,4502,3600000,3000000
Uppsalakommun,Luthagen,Gimogatan 13D,3,77.0,3582,2920000,2678899
Uppsalakommun,CENTRUM,Munkgatan 5B,1,22.0,1135,1850000,1850000
Uppsalakommun,Kungsängen,Sågargatan 15 D,2,61.0,2984,2695000,2695000
Uppsalakommun,Nyby,Lidnersgatan 17,2,61.0,3710,1600000,1495327
Uppsalakommun,Luthagen,Fyrisvallsgatan 8A,5,138.0,6541,4720000,4411214
Uppsalakommun,Fålhagen,Salagatan 43 B,2,55.0,3182,2490000,2490000
Uppsalakommun,Norby,Stövarvägen 1C,3,84.0,5555,2895000,2895000
Uppsalakommun,Vänge,Vangsbyvägen 98,3,72.0,5610,1700000,1250000
Uppsalakommun,Centrum,S:t Olofsgatan 28 A,2,69.8,4896,2595000,2595000
Uppsalakommun,Centrum,Storgatan 23A,4,137.0,6608,9500000,8482142
Uppsalakommun,Salabacke,Fyrislundsgatan 23 B,1,34.0,2752,1550000,1490384
Uppsalakommun,Luthagen,"Geijersgatan 25C, VÅN 4 / 4",3,65.0,3896,3075000,2985436
Uppsalakommun,Centrum,"Östra Ågatan 43, VÅN 3 / 3",1.5,49.8,1779,3250000,2981651
Uppsalakommun,Kungsängen,Skyttelgatan 16,1,34.0,2074,1975000,1955445
Uppsalakommun,CENTRUM,Dragarbrunnsgatan 11A,2,56.0,3108,2225000,2202970
Uppsalakommun,Kapellgärdet,Råbyvägen 78,2,65.0,3950,2300000,2233009
Uppsalakommun,Vänge,Vangsbyvägen 78,3.5,83.5,5970,1600000,1495327
Uppsalakommun,Fålhagen,Petterslundsgatan 16C,3,86.6,4605,3100000,2980769
Uppsalakommun,Centrum,Storgatan 22 E,3,76.9,3724,2900000,2735849
Uppsalakommun,Fålhagen,Hjalmar Brantingsgatan 12 B,3.5,78.3,4093,3350000,3190476
Uppsalakommun,Gränby,Blixtgatan 19,3.5,82.5,4101,2000000,2000000
Uppsalakommun,Luthagen,Norrlandsgatan 38 C,3,77.0,4236,3350000,3190476
Uppsalakommun,Gränbybacke,Solskensgatan 19,2,50.5,3121,1750000,1699029
Uppsalakommun,Uppsala,Norrtäljegatan 29,2,57.0,4355,1995000,1995000
Uppsalakommun,Höganäs,Storgatan 18 B,2,42.6,2569,2195000,2090476
Uppsalakommun,Salabacke,Lästmakargatan 2B,2,55.0,3346,2045000,1793859
Uppsalakommun,Årsta,Kummingatan 5 A,3,79.7,4044,2375000,2305825
Uppsalakommun,Kapellgärdet,Portalgatan 15,3,77.0,4326,2780000,2504504
Uppsalakommun,FrämreLuthagen,Odensgatan 18,2,60.0,2236,3150000,2889908
Uppsalakommun,FrämreLuthagen,Luthagsesplanaden 8A,2.5,68.0,3892,2800000,2800000
Uppsalakommun,FrämreLuthagen,Götgatan 14 A,1,22.5,1314,1950000,1788990
Uppsalakommun,NorraRosendal,Dekangatan 10 (2-1504),1,28.0,1642,1585000,1585000
Uppsalakommun,Gränby,Albert Engströmsgatan 2H,2,53.0,3505,1900000,1862745
Uppsalakommun,ÖstraSalabacke,"Johannesbäcksgatan 95A, VÅN 4",2,44.0,2785,1850000,1796116
Uppsalakommun,Sävja,Västgötaresan 8,3,84.5,5704,1495000,1495000
Uppsalakommun,KUNGSÄNGEN,Mältargatan 2,3,88.0,4677,3295000,3199029
Uppsalakommun,Luthagen,Dalgatan 8,2.5,64.4,3500,3500000,3301886
Uppsalakommun,Höganäs,S:t Olofsgatan 48,1,39.5,1884,1895000,1895000
Uppsalakommun,ULLERÅKER,Eva Lagerwalls väg 4,2,66.0,4251,2350000,2079646
Uppsalakommun,Höganäs,Höganäsgatan 4E,1.5,42.0,2244,2095000,2095000
Uppsalakommun,Centrum,Dragarbrunnsgatan 58,3,72.0,3300,3195000,3195000
Uppsalakommun,Tunabackar,Fjärdhundragatan 50,2.5,68.5,3514,2210000,1888888
Uppsalakommun,NYBY,Lidnersgatan 32,3,76.5,4409,2500000,2403846
Uppsalakommun,Luthagen,Luthagsesplanaden 30 B,1.5,39.0,1685,2460000,2299065
