region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Stockholmskommun,Bromma,Gustav III:s väg 76,3,83.0,2424,5100000,4811320
Sundbybergskommun,Ursvik,Boplatsvägen 2,4,85.0,4725,4635000,4291666
Stockholmskommun,Hägersten,Klubbacken 39,2,51.0,2862,3300000,2796610
Stockholmskommun,Södermalm,"Åsögatan 191, 1 tr",1,36.0,1921,3550000,2958333
Stockholmskommun,Skärmarbrink,Thunbergsgatan 35,3,68.0,4466,5300000,4491525
Stockholmskommun,Södermalm,Urvädersgränd 6C Ö.G,2,39.0,1367,4300000,3805309
Solnakommun,Huvudsta,"Göran Perssons Väg 3, vån 2",3,83.0,4839,4200000,3805309
Stockholmskommun,HammarbySjöstad,"Virkesvägen 9G, HÖGST UPP!",2,57.5,3257,5000000,4587155
Stockholmskommun,Hornstull,Långholmsgatan 13,1,25.0,1446,2480000,2455445
Stockholmskommun,Annedal,"Krakel Spektakels Gata 2, 4 tr",4,123.0,5463,6995000,6995000
Sollentunakommun,Rotebro,Vasavägen 84A,3,76.0,4293,2300000,2149532
Stockholmskommun,Aspudden,"Jarl Kulles gata 3, vån 2 av 5",2.5,63.0,3493,4730000,4077586
Stockholmskommun,GamlaEnskede,Nynäsvägen 313,1,45.5,2843,3200000,2500000
Stockholmskommun,Fruängen,Fruängsgatan 39,4,108.7,5280,6075000,5955882
Stockholmskommun,Minneberg,Svartviksslingan 73,2.5,63.5,3472,5260000,4495726
Stockholmskommun,Vasastan,Sveavägen 89,1,40.5,2020,3800000,2992125
Stockholmskommun,ÖrbySlott,Gimmerstavägen 10,1,22.4,1469,1500000,1293103
Stockholmskommun,Årsta,Gullmarsvägen 81,2,54.0,3113,3650000,3201754
Stockholmskommun,Östermalm,"Melodislingan 18, 4 tr",2,44.0,3503,5200000,5098039
Stockholmskommun,Bagarmossen,Emågatan 12,4,75.0,4501,4500000,4500000
Nackakommun,Orminge,Betsövägen 8,2,54.0,3498,2160000,2160000
Stockholmskommun,Hässelby,Aprikosgatan 82,2,57.5,4652,2050000,1898148
Solnakommun,Råsunda,"Gustafsvägen 12, 2 tr",3,65.0,2862,4175000,3976190
Solnakommun,Näckrosen,Näckrosvägen 28,2,53.0,3332,3600000,3000000
Nackakommun,ÖstraOrminge,Storholmsvägen 50,6,115.5,6489,4800000,4705882
Solnakommun,Solna,"Fridensborgsvägen 113, egen uteplats!",1.5,31.0,2232,2200000,2075471
Sundbybergskommun,CentralaSundbyberg,Tulegatan 6E,1.5,37.0,2017,2750000,2291666
Stockholmskommun,Kungsholmen,"Wennerbergsgatan 6b, 6tr",2,49.0,2460,3875000,3799019
Stockholmskommun,ÖrbySlott,Tosterövägen 9,3,69.5,3741,3350000,2791666
Nackakommun,Nacka,"Trillans väg 47, 2tr",4,94.5,5894,4600000,3898305
Stockholmskommun,Södermalm,"Mosebacke torg 8 A, 2 tr",5,101.0,5668,12500000,12500000
Nackakommun,Finntorp,"Becksjudarvägen 33, 2tr",2,52.0,3015,2650000,2500000
Stockholmskommun,Riksby,Mattvägen 7,3,72.0,4485,4400000,4313725
Nackakommun,Kvarnholmen,Mjölnarvägen 22,3.5,111.5,3901,8500000,8500000
Stockholmskommun,Hökarängen,"Pepparvägen 62, 3 tr",4,91.0,5460,4740000,4194690
Stockholmskommun,Bandhagen,"Fågelstavägen 20, vån 3 av 3",2,55.5,3510,2600000,2166666
Stockholmskommun,Högdalen,Stenkvistavägen 12,2,49.5,3152,2700000,2700000
Stockholmskommun,Vasastan,Tre Liljor 5,2,37.0,1854,4100000,3980582
Stockholmskommun,Liljeholmskajen,Sjöviksbacken 5,3,84.0,4482,6350000,5772727
Stockholmskommun,Hässelby,Medsolsbacken 17 (Vån 1),4,100.0,5610,3450000,3254716
Stockholmskommun,Västertorp,Piruettvägen 4 - UNDERHAND,2,63.0,3866,3750000,3254716
Stockholmskommun,Globen,Bildhuggarvägen 15,2,39.0,2778,2860000,2486956
Nackakommun,SaltsjöbadenLjuskärrsberget,Ljuskärrsvägen 63,3.5,78.0,3944,3200000,3200000
Stockholmskommun,Gubbängen,Bordsvägen 27,1,41.0,2239,2410000,2190909
Solnakommun,Hagastaden,Fogdevreten 6,2,55.0,3477,3150000,2739130
Stockholmskommun,Södermalm,"Lundagatan 36E, 2tr",2,36.0,1846,3495000,3495000
Stockholmskommun,Vasastan,"Upplandsgatan 28, 5 tr",5,125.5,6222,13500000,13500000
Stockholmskommun,Älvsjö,Långsjövägen 58,2,45.0,3204,2800000,2393162
Stockholmskommun,Kungsholmen,"Primusgatan 94, 3 tr",2,56.0,3233,5100000,5000000
Stockholmskommun,Enskede,"Sofielundsvägen 12, 2 tr",2,53.5,3011,3510000,3000000
Stockholmskommun,Husby,Stavangergatan 50,3,76.0,5674,1800000,1500000
Stockholmskommun,Bromma,Bergslagsvägen 43,1,40.0,2646,2325000,2094594
Stockholmskommun,SpångaSolhem,Bennebolsgatan 40 ACCEPTERAT PRIS!,1.5,39.5,3061,1825000,1771844
Stockholmskommun,Midsommarkransen,Midsommarvägen 9,2,42.0,3046,2600000,2500000
Stockholmskommun,Södermalm,"Tobaksspinnargatan 1, 2 tr",1,40.0,2497,3500000,3500000
Stockholmskommun,Kungsholmen,"Sankt Göransgatan 85, vån 7",3,83.0,4495,11250000,9533898
Stockholmskommun,Hammarbyhöjden,"Garagevägen 15, 3 tr",3,78.0,4335,5550000,5000000
Stockholmskommun,Hagsätra,Porlabacken 47,1,28.0,2043,1600000,1391304
Stockholmskommun,Hägerstensåsen,Inteckningsvägen 17 i,2.5,65.0,4937,3010000,2594827
Nackakommun,Saltsjöbaden,Ljuskärrsvägen 8,2,44.5,2709,2000000,1801801
Stockholmskommun,Bromma,Ibsengatan 52,3,68.0,3438,3350000,3160377
Stockholmskommun,Ekhagen,Ekhagsvägen 2,2,64.0,2329,4300000,4215686
Sollentunakommun,Tureberg,Bagarbyvägen 18,4,85.0,4169,2600000,2500000
Stockholmskommun,Johannesfred,Ståltrådsvägen 44,2,43.5,2575,2300000,2300000
Sundbybergskommun,Sundbyberg,Forskningsringen 85A,2,61.0,3879,3350000,3190476
Stockholmskommun,Gröndal,"Sannadalsvägen 28, 2 / 2tr",2,45.0,3012,3650000,3650000
Sollentunakommun,Helenelund,Stupvägen 13,4,90.0,3952,4030000,3766355
Stockholmskommun,Gullmarsplan,Grafikvägen 32,3,68.0,3881,4400000,4230769
Solnakommun,Frösunda,"Signalistgatan 16, 3 tr",3,75.0,4163,5220000,4833333
Stockholmskommun,Skärholmen,Ekholmsvägen 303,2,52.0,-,2320000,1982905
Stockholmskommun,Fruängen,Ellen keys gata 24,1,36.0,3310,2200000,1746031
Solnakommun,GamlaFilmstaden,Mauritz stillers väg 3,2,60.0,3663,3650000,3509615
Sollentunakommun,Edsängen,Sörmlandsvägen 8,3,76.0,4226,3400000,3207547
Stockholmskommun,Aspudden,Hövdingagatan 29,1,35.0,2236,2600000,2385321
Solnakommun,Bergshamra,Björnstigen 125,2,58.0,2167,3410000,2991228
Sollentunakommun,Rotebro,Timotejvägen 11,3,73.5,4692,2250000,2142857
Stockholmskommun,Liljeholmskajen,Buteljgatan 24,2,46.0,2633,3600000,3600000
Stockholmskommun,Gullmarsplan,Grafikvägen 16,2,51.0,2898,3090000,2783783
Solnakommun,Bergshamra,Bergshamra Allé 99,3,90.0,4571,6200000,5210084
Sollentunakommun,Edsberg,Ribbings Väg 12A,3.5,70.0,4105,2300000,2190476
Stockholmskommun,Farsta,Lingvägen 217,3,80.0,4064,3900000,2190476
Stockholmskommun,Johanneshov,Sten Bergmans väg 13,4,113.0,6328,8300000,2190476
Nackakommun,Sickla,Atlasvägen 61,4,90.5,4314,6400000,6336633
Stockholmskommun,Vasastan,"Tomtebogatan 22, 2 tr",3,80.0,3101,8875000,8787128
Stockholmskommun,Bandhagen,Skebokvarnsvägen 376,1,33.0,2471,1810000,1547008
Stockholmskommun,Södermalm,Hornsgatan 55A,2,53.0,2194,5500000,4910714
Stockholmskommun,Östermalm,Valhallavägen 148F,2,46.0,1951,4920000,4871287
Stockholmskommun,Södermalm,Tavastgatan 23,2,40.9,2052,5500000,5188679
Solnakommun,Huvudsta,"Bygatan 33, 5 tr",4,112.0,5434,6000000,5504587
Stockholmskommun,Bagarmossen,"Svartågatan 74, 2tr",1.5,38.0,3050,2250000,1973684
Stockholmskommun,Södermalm,Assessorsgatan 18F,2,64.0,2352,5250000,5000000
Solnakommun,Arenastaden,"Evenemangsgatan 24, Vån 18",2,45.0,1822,3300000,2999999
Stockholmskommun,Kistagård,"Hanstavägen 94, Vån 3",2,59.5,3144,2510000,2201754
Solnakommun,Huvudsta,Jungfrudansen 16,2,64.0,3335,3600000,3302752
Stockholmskommun,NorraDjurgårdsstaden,"Labradorgatan 26, 1tr",3,89.5,4094,12250000,10745614
Stockholmskommun,Vasastan,Klara Östra Kyrkogata 8F,3,73.0,747,7500000,7009345
Solnakommun,Bergshamra,Mårdstigen 3 - Accepterat pris!,4,74.5,4695,4000000,3921568
Stockholmskommun,Västertorp,Skidvägen 16,4,82.0,4772,5000000,4310344
Stockholmskommun,Kungsholmen,"Rålambsvägen 8C, 3tr",3,77.5,4354,6100000,5980392
Stockholmskommun,Södermalm,Götgatan 96A,2,35.0,1026,3725000,3449074
Stockholmskommun,Björkhagen,Lyckebyvägen 16,2,53.0,3204,4000000,3449074
Stockholmskommun,Årsta,Svärdlångsvägen 25,5,146.5,7602,8350000,7522522
