region,location,street_address,num_of_rooms,size,fee,price
Centrum,Centrum,"
        Munkgatan 5B
      ",1,26.0,1212,1895000
Salabacke,Salabacke,"
        Murargatan 30A
      ",1,40.0,2046,1195000
Salabacke,Salabacke,"
        Johannesbäcksgatan 43
      ",2,44.0,2750,1850000
Nyby,Nyby,"
        Viktor Rydbergsgatan 9
      ",2,61.0,3837,1750000
Sala backe,Salabacke,"
        Johannesbäcksgatan 43
      ",2,37.0,2400,1750000
Kåbo,Kåbo,"
        Dag Hammarskjölds Väg 15 B
      ",1,27.0,2315,1495000
Vädergatorna,Vädergatorna,"
        Molngatan 15
      ",4,87.5,4550,2295000
Rackarberget,Rackarberget,"
        S:t Johannesgatan 36A
      ",1,33.0,2430,1595000
Luthagen,Luthagen,"
        Börjegatan 56A
      ",3,76.0,3892,2695000
Svartbäcken,Svartbäcken,"
        Egilsgatan 17B - med uthyrningsdel
      ",3,59.0,3653,2495000
Höganäs,Höganäs,"
        Salagatan 15B
      ",1,36.0,2724,1895000
Gottsunda,Gottsunda,"
        Vackra Birgers Väg 23
      ",2,66.0,3925,1495000
Årsta,Årsta,"
        Fyrislundsgatan 46
      ",2,62.3,2149,1850000
Luthagen,Luthagen,"
        Luthagsesplanaden 8A
      ",3,68.0,3842,2595000
Främre Luthagen,FrämreLuthagen,"
        Götgatan 10A
      ",1,28.4,1409,1895000
Salabacke,Salabacke,"
        Källparksgatan 14
      ",4,93.0,4119,2595000
Luthagen,Luthagen,"
        Pålgatan 16
      ",5,110.0,5626,4295000
Luthagen,Luthagen,"
        Plattgatan 2
      ",4,98.0,5111,3690000
Ultuna,Ultuna,"
        Göte Turessons väg 5A
      ",1,30.0,2398,1450000
Bellman,Bellman,"
        Bellmansgatan 22
      ",5,136.0,7890,3695000
Rosendal,Rosendal,"
        Torgny Segerstedts allé 4
      ",1,31.0,1590,1550000
Uppsala,Uppsala,"
        Norrlandsgatan 36B
      ",3,80.0,3968,3395000
Ulleråker,Ulleråker,"
        Ulleråkersvägen 70
      ",2,67.0,4334,2095000
Höganäs,Höganäs,"
        S:t Olofsgatan 66B
      ",2,56.5,2661,2295000
Höganäs,Höganäs,"
        Väderkvarnsgatan 11 B
      ",1,18.0,1337,1450000
Uppsala,Uppsala,"
        Torgny Segerstedts allé 85
      ",2,33.0,1705,1795000
Fålhagen,Fålhagen,"
        Hjalmar Brantingsgatan 12B
      ",2,56.0,3005,2250000
Årsta,Årsta,"
        Fyrislundsgatan 38
      ",1,24.2,1058,1295000
Salabacke,Salabacke,"
        Årstagatan 18D
      ",3,73.5,4095,2090000
Bellman,Bellman,"
        Bellmansgatan 162
      ",3,81.5,4132,1995000
Centrum,Centrum,"
        Eddagatan 12A
      ",3,83.0,4250,4290000
Norra Rosendal,NorraRosendal,"
        Dekangatan 10 (2-1208)
      ",1,29.0,1700,1525000
Uppsala,Uppsala,"
        Sågargatan 8B
      ",3,76.0,3087,3350000
Årsta,Årsta,"
        Gräslöksgatan 34
      ",2,63.0,3775,1795000
Rosendal,Rosendal,"
        Vårdsätravägen 3F
      ",1,35.0,2039,1750000
Centrum,Centrum,"
        Kungsgatan 63A
      ",1.5,34.0,2345,1995000
Kvarngärdet,Kvarngärdet,"
        Råbyvägen 38
      ",2,41.5,2934,1695000
Uppsala,Uppsala,"
        Kungsängsesplanaden 12B
      ",3,69.0,3958,3195000
Fålhagen,Fålhagen,"
        Fålhagsleden 6B
      ",2,52.5,2620,2295000
Nyby,Nyby,"
        Hurtigs gata 31
      ",2,63.0,3651,1995000
Kapellgärdet,Kapellgärdet,"
        Kapellgatan 3
      ",3,78.5,4514,2850000
Sunnersta,Sunnersta,"
        Dag Hammarskjölds Väg 246B
      ",2,66.8,4743,1495000
Fålhagen,Fålhagen,"
        S:t Göransgatan 31C
      ",1,39.0,2340,1795000
Gunsta,Gunsta,"
        Hjulaxelvägen 136
      ",2,55.0,2903,1795000
Rosendal,Rosendal,"
        Rosendalsvägen 12c
      ",1,32.0,1566,1895000
Årsta,Årsta,"
        Gräslöksgatan 6
      ",1.5,43.0,2638,1595000
Främre Luthagen,FrämreLuthagen,"
        Gluntens Gränd 4B
      ",1.5,34.0,1827,2095000
Fålhagen,Fålhagen,"
        Botvidsgatan 16 B
      ",1,18.0,1121,1295000
Stenhagen,Stenhagen,"
        Stenhagsvägen 162
      ",3.5,79.0,5490,1695000
Gränby,Gränby,"
        Råbyvägen 57F
      ",2,45.0,2712,1795000
STENHAGEN,STENHAGEN,"
        Herrhagsvägen 195
      ",2,55.0,3160,1750000
Fålhagen - Höganäs,Fålhagen,"
        Kvarntorget 7
      ",2,56.0,2453,1995000
LUTHAGEN,LUTHAGEN,"
        Luthagsesplanaden 26C
      ",2.5,70.0,3847,3200000
Luthagen/Stabby,Luthagen,"
        Plattgatan 6
      ",3,81.0,4406,2950000
Uppsala,Uppsala,"
        Sockergatan 4
      ",3,65.0,3950,3295000
Uppsala,Uppsala,"
        Heidenstamsgatan 51
      ",2,65.5,3707,1695000
Rosendal,Rosendal,"
        Lydia Wahlströms Gata
      ",3,55.0,3601,2698000
GRÄNBY,GRÄNBY,"
        Gränby bilgata 18
      ",2,59.5,3840,1825000
Gränby Backe,GränbyBacke,"
        Regngatan 10
      ",3,89.8,4275,2150000
HÖGANÄS,HÖGANÄS,"
        Storgatan 6
      ",1,28.5,1726,1695000
KUNGSÄNGEN,KUNGSÄNGEN,"
        Skyttelgatan 7
      ",4,106.0,3925,4295000
Gunsta,Gunsta,"
        Hjulaxelvägen 204 lgh 1101
      ",2,55.0,3246,1685000
Svartbäcken,Svartbäcken,"
        Svartbäcksgatan 101A
      ",1.5,40.0,3056,1595000
Tunabackar,Tunabackar,"
        Tunagatan 32 E
      ",4,95.0,4951,2875000
Luthagen / Stabby,Luthagen,"
        Stabby allé 11 E
      ",1,31.0,2409,1750000
Salabacke,Salabacke,"
        Apelgatan 9A
      ",1,26.5,1635,1495000
Storvreta,Storvreta,"
        Morgonvägen 29
      ",2,69.0,4194,1795000
Valsätra,Valsätra,"
        Hugo Alfvéns väg 34
      ",2,58.3,2858,1700000
Svartbäcken,Svartbäcken,"
        Egilsgatan 11B
      ",2,56.0,3218,1950000
Fålhagen,Fålhagen,"
        Väderkvarnsgatan 48B
      ",1,50.0,2621,2095000
Fullerö Hage,FulleröHage,"
        Snömolnsvägen
      ",5,113.0,4396,4095000
Skyttorp,Skyttorp,"
        Myrvägen 8
      ",6,130.4,5700,1595000
ÅRSTA,ÅRSTA,"
        Fyrislundsgatan 36
      ",3,87.0,4921,2200000
Slavsta,Slavsta,"
        Stålgatan 55
      ",6,137.0,7466,4195000
Årsta,Årsta,"
        Kummingatan 43B
      ",3,79.7,3677,2550000
Rosendal,Rosendal,"
        Lydia Wahlströms Gata
      ",2,46.0,3012,1948000
Höganäs,Höganäs,"
        Sankt olofsgatan 43E
      ",1,36.0,2090,1895000
Rosendal,Rosendal,"
        Lydia Wahlströms Gata
      ",3,55.0,3601,2378000
Ultuna,Ultuna,"
        Göte Turessons väg 5A
      ",1,30.0,2398,1395000
Fålhagen,Fålhagen,"
        Petterslundsgatan 9 B
      ",2,66.2,3015,2195000
FÅLHAGEN,FÅLHAGEN,"
        Vallbygatan 9
      ",1,22.5,1534,1395000
Rosendal,Rosendal,"
        Grindstugegatan 5
      ",3,75.0,4341,4695000
Rosendal,Rosendal,"
        Grindstugegatan 5
      ",2,45.5,2977,2295000
Rosendal,Rosendal,"
        Gerd Enequists gata 12 A
      ",2,64.0,3833,3045000
Rosendal,Rosendal,"
        Gerd Enequists gata 14
      ",4,90.5,5055,3695000
Rosendal,Rosendal,"
        Gerd Enequists gata 14
      ",4,97.5,5375,4045000
Gunsta,Gunsta,"
        Hjulaxelvägen 164 lgh 1103
      ",3,72.0,4013,2095000
Centrum,Centrum,"
        Storgatan 16C
      ",2,70.4,3757,2895000
Salabacke,Salabacke,"
        Årstagatan 20C
      ",2,56.0,3166,1850000
Kungsängen/industristaden,Kungsängen,"
        Industrigatan 33
      ",3,84.0,3838,3895000
Fålhagen,Fålhagen,"
        Frodegatan 10B - FAST PRIS
      ",2,57.5,3420,3295000
KÅBO,KÅBO,"
        Banérgatan 16 A, 1104
      ",4,88.0,4041,3990000
