link,region,location,street_address,num_of_rooms,size,fee,price
https://www.hemnet.se/bostad/lagenhet-2rum-falhagen-uppsala-kommun-norrtaljegatan-34-18754897,Fålhagen,Fålhagen,Norrtäljegatan34,2,53.0,3640,2095000
https://www.hemnet.se/bostad/lagenhet-2rum-kapellgardet-uppsala-kommun-orgelgatan-9-18850435,Kapellgärdet,Kapellgärdet,Orgelgatan9,2,52.0,2382,2395000
https://www.hemnet.se/bostad/lagenhet-3rum-uppsala-kommun-granby-bilgata-28-17609385,Uppsala,Uppsala,GränbyBilgata28,3,55.0,4150,2395000
https://www.hemnet.se/bostad/lagenhet-1rum-uppsala-kommun-granby-bilgata-28-17609280,Uppsala,Uppsala,GränbyBilgata28,1,35.0,3200,1795000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-kommun-granby-bilgata-28-17609387,Uppsala,Uppsala,GränbyBilgata28,2,44.0,3650,2050000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-kommun-granby-bilgata-28-17609318,Uppsala,Uppsala,GränbyBilgata28,2,48.0,3850,1995000
https://www.hemnet.se/bostad/lagenhet-1rum-uppsala-kommun-granby-bilgata-28-17609279,Uppsala,Uppsala,GränbyBilgata28,1,31.0,3000,1395000
"https://www.hemnet.se/bostad/lagenhet-3,5rum-kungsangen-uppsala-kommun-sagargatan-11b-18848775",Kungsängen,Kungsängen,Sågargatan11B,3.5,85.0,3312,3895000
https://www.hemnet.se/bostad/lagenhet-1rum-fjardingen-uppsala-kommun-slottsgrand-2e-18848278,Fjärdingen,Fjärdingen,Slottsgränd2E,1,31.6,2382,2275000
https://www.hemnet.se/bostad/lagenhet-3rum-uppsala-kommun-kantorsgatan-5-18298876,Uppsala,Uppsala,Kantorsgatan5,3,73.0,4479,2750000
https://www.hemnet.se/bostad/lagenhet-3rum-uppsala-kommun-kantorsgatan-3b-18112735,Uppsala,Uppsala,Kantorsgatan3B,3,64.0,4030,2350000
https://www.hemnet.se/bostad/lagenhet-1rum-uppsala-kommun-kantorsgatan-5-18298615,Uppsala,Uppsala,Kantorsgatan5,1,35.0,2580,1725000
https://www.hemnet.se/bostad/lagenhet-1rum-kapellgardet-uppsala-kommun-kantorsgatan-9-18847495,Kapellgärdet,Kapellgärdet,Kantorsgatan9,1,33.0,2381,1595000
https://www.hemnet.se/bostad/lagenhet-2rum-arsta-uppsala-kommun-kummingatan-20b-18845175,Årsta,Årsta,Kummingatan20B,2,62.1,3556,1695000
https://www.hemnet.se/bostad/lagenhet-4rum-rosendal-uppsala-kommun-lydia-wahlstroms-gata-18089395,Rosendal,Rosendal,LydiaWahlströmsGata,4,93.0,5225,4198000
https://www.hemnet.se/bostad/lagenhet-3rum-ulleraker-uppsala-kommun-gustaf-kjellbergs-vag-3c-18846355,Ulleråker,Ulleråker,GustafKjellbergsväg3C,3,80.0,4903,2695000
