region,location,street_address,num_of_rooms,size,fee,final_price,percentage_change,initial_price
Uppsalakommun,Kåbo,Gerd Enequists gata 12 A,2,64.0,3833,3145000,"
            ±0 %
          ",3145000
Uppsalakommun,Kungsängen,Sågargatan 15 D,2,61.0,2984,2625000,"
            -3 %
          ",2548543
Uppsalakommun,Tunabackar,Väpnargatan 13A,2,64.5,3314,1975000,"
            ±0 %
          ",1975000
Uppsalakommun,Gränby,Marknadsgatan 30A,3,68.5,3996,2400000,"
            ±0 %
          ",2400000
Uppsalakommun,Gränby,Marknadsgatan 40,3,78.5,4579,2900000,"
            ±0 %
          ",2900000
Uppsalakommun,Kåbo,Gerd Enequists gata 14,4,90.5,5055,3795000,"
            ±0 %
          ",3795000
Uppsalakommun,Kungsängen,Tullgarnsgatan 3,1,34.0,1873,1995000,"
            ±0 %
          ",1995000
Uppsalakommun,Luthagen,Luthagsesplanaden 9B,2,66.8,3408,2555000,"
            +2 %
          ",2504901
Uppsalakommun,Kungsängen,Viragatan 9,4,100.0,5538,5650000,"
            +20 %
          ",4708333
Uppsalakommun,Årsta,Kummingatan 8B,3,79.6,4330,2075000,"
            -5 %
          ",1976190
Uppsalakommun,Gottsunda,Musikvägen 108,3.5,78.5,4562,1825000,"
            +14 %
          ",1600877
Uppsalakommun,Gränbystaden,Marknadsgatan 30A,3,68.5,3996,2450000,"
            ±0 %
          ",2450000
Uppsalakommun,Rosendal,Dekangatan 4,2,43.5,2883,2195000,"
            ±0 %
          ",2195000
Uppsalakommun,Centrum,S:t Olofsgatan 28C,2,53.4,4105,2150000,"
            -2 %
          ",2107843
Uppsalakommun,Salabacke,Murargatan 13,1,41.5,2110,1750000,"
            +10 %
          ",1590909
Uppsalakommun,Fålhagen,Petterslundsgatan 14 E,1,24.0,1759,1525000,"
            -2 %
          ",1495098
Uppsalakommun,Kapellgärdet,Portalgatan 66,3,81.0,4080,3345000,"
            ±0 %
          ",3345000
Uppsalakommun,Höganäs,Salagatan 15A,2,39.0,2985,2225000,"
            +1 %
          ",2202970
Uppsalakommun,Salabacke,Byggmästargatan 5C,2,66.0,3107,2250000,"
            +13 %
          ",1991150
Uppsalakommun,Salabacke,Johannesbäcksgatan 80B,4,90.0,4029,2600000,"
            +4 %
          ",2500000
Uppsalakommun,Kapellgärdet,Råbyvägen 34,3.5,92.0,4825,3375000,"
            +13 %
          ",2986725
Uppsalakommun,Fålhagen,Norrtäljegatan 9C,1,36.5,2520,2300000,"
            +15 %
          ",2000000
Uppsalakommun,Salabacke,Gröna gatan 25C,4,92.0,5197,2700000,"
            +13 %
          ",2389380
Uppsalakommun,Salabacke,Johannesbäcksgatan 95A - FAST PRIS!,2,44.0,2785,1895000,"
            ±0 %
          ",1895000
Uppsalakommun,Gottsunda,Altfiolsvägen 3D,3,85.0,4831,1695000,"
            ±0 %
          ",1695000
Uppsalakommun,Rosendal,Torgny Segerstedts allé 36,4,83.0,4644,3500000,"
            +8 %
          ",3240740
Uppsalakommun,Kapellgärdet,Torngatan 18,4,98.0,5028,3595000,"
            ±0 %
          ",3595000
Uppsalakommun,Löten,Lings väg 85,2,69.0,4202,2000000,"
            +11 %
          ",1801801
Uppsalakommun,Centrum,Linnégatan 16B,3,75.0,4710,3150000,"
            +5 %
          ",3000000
Uppsalakommun,Luthagen,Jumkilsgatan 20B,3,72.4,2971,2600000,"
            +4 %
          ",2500000
Uppsalakommun,Salabacke,Ritargatan 4B,4,96.3,4181,2900000,"
            +4 %
          ",2788461
Uppsalakommun,Gränby,Albert engströmsgatan 2H,3,75.5,4563,2495000,"
            ±0 %
          ",2495000
Uppsalakommun,Uppsala,Herrhagsvägen 195,3,76.0,3976,2100000,"
            +5 %
          ",2000000
Uppsalakommun,FRÄMRELUTHAGEN,Sysslomansgatan 15A,3,78.0,2415,4500000,"
            -2 %
          ",4411764
Uppsalakommun,Fålhagen,Petterslundsgatan 14E,1,24.0,1759,1600000,"
            ±0 %
          ",1600000
Uppsalakommun,Fålhagen,Torkelsgatan 2B,2,54.5,3239,2340000,"
            +7 %
          ",2186915
Uppsalakommun,Centrum,Svartbäcksgatan 33B,1,29.5,1499,1930000,"
            +2 %
          ",1892156
Uppsalakommun,Fålhagen,Frodegatan 5 F,1,45.0,2297,2150000,"
            +3 %
          ",2087378
Uppsalakommun,Luthagen,Eriksgatan 17,2,66.8,3876,2195000,"
            ±0 %
          ",2195000
Uppsalakommun,Centrum,S:t Persgatan 19E,5,125.0,5414,5000000,"
            -5 %
          ",4761904
Uppsalakommun,Luthagen,Stabby Allé 11 L,1,31.0,2409,1725000,"
            -1 %
          ",1707920
