region,location,link,street_address,num_of_rooms,size,fee,final_price,percentage_change,price,sold_date
Uppsalakommun,Årsta,https://www.hemnet.se/salda/lagenhet-2rum-arsta-uppsala-kommun-kummingatan-20b-8286373783035691016,Kummingatan 20B,2,62.1,3556,1650000,            -3 %          ,1601941,Såld21juli2022
Uppsalakommun,Svartbäcken,https://www.hemnet.se/salda/lagenhet-2rum-svartbacken-uppsala-kommun-idrottsgatan-14-6959028969182178987,Idrottsgatan 14,2,52.6,2262,2000000,            +1 %          ,1980198,Såld21juli2022
Uppsalakommun,Kapellgärdet,https://www.hemnet.se/salda/lagenhet-3rum-kapellgardet-uppsala-kommun-rabyvagen-28-1865160951181512642,Råbyvägen 28,3,78.0,5065,2900000,            +8 %          ,2685185,Såld21juli2022
Uppsalakommun,Nyby,https://www.hemnet.se/salda/lagenhet-2rum-nyby-uppsala-kommun-wivalliusgatan-21-1723930550346808076,Wivalliusgatan 21,2,61.0,3175,1800000,            +13 %          ,1592920,Såld21juli2022
Uppsalakommun,Svartbäcken,"https://www.hemnet.se/salda/lagenhet-1,5rum-svartbacken-uppsala-kommun-skoldungagatan-30b-1518853128391357604",Sköldungagatan 30B,1.5,41.0,2492,1860000,            +4 %          ,1788461,Såld21juli2022
Uppsalakommun,Kungsängen,https://www.hemnet.se/salda/lagenhet-2rum-kungsangen-industristaden-uppsala-kommun-industrigatan-37-631884209942827510,Industrigatan 37,2,51.5,2556,2350000,            ±0 %          ,2350000,Såld21juli2022
Uppsalakommun,Nyby,https://www.hemnet.se/salda/lagenhet-2rum-nyby-uppsala-kommun-hurtigs-gata-31-1477579825746654296,Hurtigs gata 31,2,63.0,3768,1890000,            ±0 %          ,1890000,Såld20juli2022
Uppsalakommun,Studentstaden,https://www.hemnet.se/salda/lagenhet-1rum-studentstaden-uppsala-kommun-s-t-johannesgatan-36a-8076556329050672710,S:t Johannesgatan 36A,1,33.0,2430,1600000,            +7 %          ,1495327,Såld20juli2022
Uppsalakommun,Svartbäcken,https://www.hemnet.se/salda/lagenhet-2rum-svartbacken-tunabackar-uppsala-kommun-folkungagatan-6a-6104159776682218814,Folkungagatan 6A,2,63.0,3403,1960000,            +3 %          ,1902912,Såld20juli2022
Uppsalakommun,Svartbäcken,https://www.hemnet.se/salda/lagenhet-2rum-svartbacken-uppsala-kommun-svartbacksgatan-97a-4106038294182861433,Svartbäcksgatan 97A,2,63.0,4379,2500000,            +32 %          ,1893939,Såld20juli2022
Uppsalakommun,Ultuna,https://www.hemnet.se/salda/lagenhet-2rum-ultuna-uppsala-kommun-backlosavagen-1b-2134200508533763699,Bäcklösavägen 1B,2,56.0,3463,1890000,            ±0 %          ,1890000,Såld20juli2022
Uppsalakommun,Luthagen,https://www.hemnet.se/salda/lagenhet-4rum-luthagen-uppsala-kommun-eriksgatan-21-1752959944357023576,Eriksgatan 21,4,101.0,5861,4400000,            +13 %          ,3893805,Såld20juli2022
Uppsalakommun,Luthagen,https://www.hemnet.se/salda/lagenhet-1rum-luthagen-uppsala-kommun-viktoriagatan-6-c-5374974267000134156,Viktoriagatan 6 C,1,37.5,2528,2295000,            +7 %          ,2144859,Såld19juli2022
